epoch,sunroof,luggage_carrier,open_cargo_area,enclosed_cab,spare_wheel,wrecked,flatbed,ladder,enclosed_box,soft_shell_box,harnessed_to_a_cart,ac_vents,bus,cement mixer,crane truck,dedicated agricultural vehicle,hatchback,jeep,light truck,minibus,minivan,pickup,prime mover,sedan,tanker,truck,van,large vehicle,small vehicle,black,blue,green,other,red,silver/grey,white,yellow
1,0.041237113402061855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.23076923076923078,0.0975609756097561,0.0,0.0,0.0,0.03333333333333333,0.0,0.5216737659734403,0.0,0.08,0.08333333333333333,0.0,0.9589125353672039,0.3050847457627119,0.03333333333333333,0.0,0.034482758620689655,0.17142857142857143,0.3465346534653465,0.5638643752902927,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.5700052438384898,0.0,0.0,0.0,0.0,0.9589276930644368,0.34615384615384615,0.0,0.0,0.0,0.0,0.5531496062992126,0.6067883445405059,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.5780567685589519,0.0,0.0,0.0,0.0,0.9589276930644368,0.25,0.0,0.0,0.0,0.0,0.5915735167669819,0.6984065293431791,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6046511627906976,0.0,0.0,0.0,0.0,0.9589276930644368,0.4883720930232558,0.0,0.0,0.0,0.0,0.6116863905325444,0.7142309167625623,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44537815126050423,0.0,0.0,0.0,0.0,0.0,0.0,0.6146261298274446,0.0,0.0,0.0,0.0,0.9589276930644368,0.4720812182741117,0.0,0.0,0.0,0.0,0.6461424332344213,0.7168416958381952,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.6402640264026402,0.0,0.0,0.0,0.0,0.9589276930644368,0.5,0.0,0.0,0.0,0.3684210526315789,0.6704318936877076,0.7182320441988951,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49264705882352944,0.0,0.0,0.0,0.0,0.0,0.0,0.6506996770721205,0.0,0.0,0.0,0.0,0.9589276930644368,0.5425531914893617,1.0,0.0,0.0,0.40540540540540543,0.6770145310435931,0.7179775280898877,0.0
8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4957983193277311,0.0,0.0,0.0,0.0,0.0,0.0,0.6606113033448674,0.0,0.0,0.0,0.0,0.9589276930644368,0.5400696864111498,0.2222222222222222,0.0,0.0,0.43333333333333335,0.668806161745828,0.7135173897454284,0.5
9,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505800464037123,0.0,0.0,0.0,0.0,0.0,0.0,0.6828992072480181,0.0,0.0,0.0,0.0,0.9589276930644368,0.6263736263736264,0.5,0.0,0.0,0.5373134328358209,0.6552380952380953,0.7322957198443579,0.4
10,0.0,0.0,0.0,0.0,0.0,0.676923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773026315789473,0.0,0.0,0.0,0.5,0.0,0.0,0.7002294893861158,0.0,0.0,0.0,0.0,0.9589276930644368,0.6,0.6046511627906976,0.0,0.0,0.638095238095238,0.6805555555555556,0.7428030303030303,0.5555555555555556
11,0.0,0.0,0.0,0.0,0.0,0.7352941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5655608214849921,0.0,0.0,0.0,0.0,0.0,0.0,0.7022727272727273,0.0,0.0,1.0,0.42857142857142855,0.9592615384615385,0.6119402985074627,0.696969696969697,0.0,0.0,0.646551724137931,0.6957813428401664,0.7486671744097486,0.5681818181818182
12,1.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.7164979154258487,0.0,0.0,1.0,0.5714285714285714,0.9603008260387128,0.629976580796253,0.5765765765765766,0.0,0.0,0.725609756097561,0.7060953530476766,0.753725782414307,0.7
13,0.7333333333333333,0.0,0.0,0.0,0.0,0.708029197080292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576271186440678,0.0,0.0,0.0,0.0,0.0,0.0,0.7313609467455622,0.0,0.0,0.7142857142857143,0.5789473684210527,0.9613341568869672,0.6686159844054581,0.6432748538011696,0.0,0.0,0.8148148148148148,0.7127478753541077,0.7638081395348837,0.704225352112676
14,0.6935483870967742,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,1.0,0.0,1.0,0.0,0.0,0.7373271889400922,0.0,0.0,0.4444444444444444,0.6949152542372882,0.9635868218974486,0.7163865546218487,0.7236842105263158,0.0,0.0,0.8392857142857143,0.7,0.7489161849710982,0.7066666666666667
15,0.675,0.0,0.0,0.0,0.0,0.6850828729281768,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5890557939914163,0.0,0.5,0.0,0.0,0.0,0.0,0.740582191780822,0.0,0.5,0.625,0.7777777777777778,0.9644493992320079,0.6804733727810651,0.7452229299363057,0.0,0.0,0.8465909090909091,0.7185017026106697,0.7472451790633609,0.8
16,0.7678571428571429,0.0,0.0,0.0,0.0,0.6894736842105263,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5784708249496981,0.0,0.4,0.0,0.0,0.0,0.0,0.7452428287418347,0.0,0.5,0.5,0.7674418604651163,0.9664512922465208,0.7041984732824428,0.7757575757575758,0.0,0.0,0.8729281767955801,0.7241379310344828,0.76192133658197,0.7325581395348837
17,0.7640449438202247,0.0,0.0,0.0,0.0,0.7342995169082126,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5801217038539553,0.6666666666666666,1.0,0.0,1.0,1.0,0.0,0.7426867367225221,0.0,0.4166666666666667,0.6842105263157895,0.7368421052631579,0.9672682016179216,0.734225621414914,0.7926829268292683,0.0,0.0,0.8743961352657005,0.7388355002826456,0.7591850367401469,0.788235294117647
18,0.7815533980582524,0.0,0.0,0.0,0.0,0.6846846846846847,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5876685934489403,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.7552112676056338,0.0,0.5,0.5517241379310345,0.8260869565217391,0.9679104477611941,0.7142857142857143,0.7431693989071039,0.0,0.0,0.9025641025641026,0.7157246782316732,0.7705198358413132,0.8241758241758241
19,0.7819905213270142,0.0,0.5,0.0,0.0,0.7,0.14285714285714285,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6019230769230769,0.5,0.5,0.0,0.2727272727272727,0.5,0.0,0.7509167842031029,0.0,0.6666666666666666,0.5882352941176471,0.7794117647058824,0.9714857428714357,0.7290448343079922,0.7764705882352941,0.0,0.0,0.8743961352657005,0.7215258855585831,0.7709176788124157,0.7934782608695652
20,0.7395833333333334,0.0,0.0,0.0,0.0,0.7345132743362832,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6294277929155313,0.0,0.4,0.0,0.25,1.0,0.0,0.7608149595311192,0.0,0.5757575757575758,0.631578947368421,0.7560975609756098,0.9699126092384519,0.75,0.8121546961325967,0.0,0.0,0.8536585365853658,0.7239669421487603,0.7592902577837295,0.7666666666666667
21,0.8049792531120332,0.0,1.0,0.0,0.0,0.73568281938326,0.5,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.620253164556962,0.5,0.6666666666666666,0.0,0.45,0.7777777777777778,0.0,0.7573221757322176,0.0,0.5333333333333333,0.5714285714285714,0.726027397260274,0.97145003756574,0.7664670658682635,0.7916666666666666,0.0,0.0,0.9095744680851063,0.7215047725996631,0.774584487534626,0.8571428571428571
22,0.7950819672131147,0.0,0.0,0.0,0.0,0.7114624505928854,0.6,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6331615120274914,0.2857142857142857,0.5,0.0,0.5,0.75,0.0,0.7769188293760353,0.0,0.6666666666666666,0.6268656716417911,0.8071428571428572,0.9723473473473474,0.7367387033398821,0.8402366863905325,0.0,0.0,0.8970588235294118,0.756786703601108,0.7859276468635911,0.7920792079207921
23,0.8471074380165289,0.0,0.7142857142857143,0.0,0.0,0.728,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6550847457627119,0.5769230769230769,0.0,0.0,0.48,0.6818181818181818,0.0,0.7768572217619442,0.0,0.4583333333333333,0.578125,0.7676056338028169,0.9718397997496871,0.7494908350305499,0.7584541062801933,0.0,0.0,0.9038461538461539,0.744988864142539,0.7797519275896748,0.8152173913043478
24,0.8115384615384615,0.0,0.7142857142857143,0.0,0.5,0.7655677655677655,0.5833333333333334,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6649703138252756,0.6875,0.5714285714285714,0.0,0.5882352941176471,0.6666666666666666,0.0,0.7833379158647237,0.0,0.4583333333333333,0.5949367088607594,0.7738095238095238,0.9743847312908086,0.7663366336633664,0.7832512315270936,0.0,0.0,0.8944723618090452,0.7511185682326622,0.7883435582822086,0.8775510204081632
25,0.7905405405405406,0.0,0.8461538461538461,0.5,0.0,0.735191637630662,0.5,0.0,0.5833333333333334,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6431570109151973,0.4375,0.0,0.0,0.4666666666666667,0.7714285714285715,0.0,0.7844311377245509,0.0,0.6,0.6263736263736264,0.8285714285714286,0.9728444500062571,0.7293666026871402,0.7692307692307693,0.0,1.0,0.8762376237623762,0.7429501084598699,0.7765544041450777,0.8125
