epoch,sunroof,luggage_carrier,open_cargo_area,enclosed_cab,spare_wheel,wrecked,flatbed,ladder,enclosed_box,soft_shell_box,harnessed_to_a_cart,ac_vents,bus,cement mixer,crane truck,dedicated agricultural vehicle,hatchback,jeep,light truck,minibus,minivan,pickup,prime mover,sedan,tanker,truck,van,large vehicle,small vehicle,black,blue,green,other,red,silver/grey,white,yellow
1,0.0,0.0,0.04,0.1,0.034482758620689655,0.09090909090909091,0.0,0.0,0.034482758620689655,0.0,0.0,0.043478260869565216,0.04,0.0,0.0,0.0,0.28761061946902655,0.06451612903225806,0.0,0.0,0.05263157894736842,0.1,0.07692307692307693,0.5044768482987977,0.0,0.0,0.07692307692307693,0.0,0.9589193190229459,0.10256410256410256,0.10714285714285714,0.0,0.0,0.0,0.3215686274509804,0.45082555635319455,0.05263157894736842
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17073170731707318,0.0,0.0,0.0,0.0,0.0,0.0,0.5023148148148148,0.0,0.0,0.0,0.0,0.9589276930644368,0.3717948717948718,0.0,0.0,0.0,0.0,0.375,0.5670876085240726,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24615384615384617,0.0,0.0,0.0,0.0,0.0,0.0,0.5048594693984765,0.0,0.0,0.0,0.0,0.9589276930644368,0.4552238805970149,0.0,0.0,0.0,0.0,0.44038155802861684,0.5720325203252032,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.5151437371663244,0.0,0.0,0.0,0.0,0.9589276930644368,0.3246753246753247,0.0,0.0,0.0,0.0,0.5725714285714286,0.6289893617021277,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.5128140065973104,0.0,0.0,0.0,0.0,0.9589276930644368,0.3194444444444444,0.0,0.0,0.0,0.0,0.6215596330275229,0.6797243380486035,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5262883914627798,0.0,0.0,0.0,0.0,0.9589276930644368,0.3132530120481928,1.0,0.0,0.0,0.0,0.6527777777777778,0.6997052321296978,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.5467703028678639,0.0,0.0,0.0,0.0,0.9589276930644368,0.2830188679245283,0.5882352941176471,0.0,0.0,0.0,0.6797520661157025,0.7012750455373407,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3269230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.5752260893395451,0.0,0.0,0.0,0.0,0.9589276930644368,0.4166666666666667,0.6,0.0,0.0,0.4523809523809524,0.6637047163362952,0.7175076452599388,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39768339768339767,0.0,0.0,0.0,0.0,0.0,0.0,0.6306230790723666,0.0,0.0,0.0,0.0,0.9589276930644368,0.5496688741721855,0.47619047619047616,0.0,0.0,0.5894736842105263,0.6697798532354903,0.7050957715937839,0.5
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43869209809264303,0.0,0.0,0.0,0.0,0.0,0.0,0.6565454024634775,0.0,0.0,0.0,0.0,0.9589276930644368,0.50390625,0.6,0.0,0.0,0.6504065040650406,0.6893394375408763,0.7249811888638074,0.14285714285714285
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47560975609756095,0.0,0.0,0.0,0.0,0.0,0.0,0.688212927756654,0.0,0.0,0.0,0.6666666666666666,0.9591585680895559,0.5387323943661971,0.5333333333333333,0.0,0.0,0.7265625,0.6990654205607477,0.7331863285556781,0.5
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49756888168557534,0.0,0.0,0.0,0.0,0.0,0.0,0.7005920496193967,0.0,0.0,0.0,1.0,0.9591585680895559,0.6129943502824858,0.5892857142857143,0.0,0.0,0.7661290322580645,0.7001862197392924,0.7314540059347181,0.4666666666666667
