Executing COFGA_resnet152_dropOut_weightDecay_batchNorm_200epochs
Total number of images:  11617
Number of train images:  8132
Number of validation images:  3485

Dataloader completed
USING CUDA!
Network constructed
[1], Train loss: 6.627, Val loss: 6.649, Train mAP: 9.568 %, Val mAP: 4.988 %
[2], Train loss: 6.143, Val loss: 8.990, Train mAP: 7.962 %, Val mAP: 7.246 %
[3], Train loss: 6.037, Val loss: 6.436, Train mAP: 8.588 %, Val mAP: 6.810 %
[4], Train loss: 5.909, Val loss: 10.135, Train mAP: 9.063 %, Val mAP: 7.676 %
[5], Train loss: 5.835, Val loss: 6.453, Train mAP: 9.066 %, Val mAP: 7.526 %
[6], Train loss: 5.712, Val loss: 7.456, Train mAP: 12.030 %, Val mAP: 7.614 %
[7], Train loss: 5.640, Val loss: 6.919, Train mAP: 11.203 %, Val mAP: 8.177 %
[8], Train loss: 5.551, Val loss: 6.226, Train mAP: 12.733 %, Val mAP: 9.289 %
[9], Train loss: 5.458, Val loss: 6.459, Train mAP: 14.804 %, Val mAP: 13.887 %
[10], Train loss: 5.379, Val loss: 6.465, Train mAP: 14.502 %, Val mAP: 16.375 %
[11], Train loss: 5.281, Val loss: 7.449, Train mAP: 17.623 %, Val mAP: 13.175 %
[12], Train loss: 5.213, Val loss: 6.222, Train mAP: 18.984 %, Val mAP: 18.528 %
[13], Train loss: 5.149, Val loss: 6.243, Train mAP: 20.264 %, Val mAP: 18.423 %
[14], Train loss: 5.071, Val loss: 6.287, Train mAP: 22.319 %, Val mAP: 20.264 %
[15], Train loss: 5.034, Val loss: 5.604, Train mAP: 19.966 %, Val mAP: 18.015 %
[16], Train loss: 5.058, Val loss: 4.847, Train mAP: 19.472 %, Val mAP: 20.291 %
[17], Train loss: 5.237, Val loss: 6.636, Train mAP: 17.187 %, Val mAP: 16.325 %
[18], Train loss: 4.997, Val loss: 7.985, Train mAP: 19.850 %, Val mAP: 19.333 %
[19], Train loss: 4.956, Val loss: 6.722, Train mAP: 22.173 %, Val mAP: 24.353 %
[20], Train loss: 4.871, Val loss: 7.902, Train mAP: 22.090 %, Val mAP: 22.548 %
[21], Train loss: 4.835, Val loss: 6.831, Train mAP: 24.604 %, Val mAP: 23.963 %
[22], Train loss: 4.791, Val loss: 6.393, Train mAP: 23.459 %, Val mAP: 25.988 %
[23], Train loss: 4.757, Val loss: 6.559, Train mAP: 23.602 %, Val mAP: 26.778 %
[24], Train loss: 4.715, Val loss: 7.502, Train mAP: 30.256 %, Val mAP: 24.848 %
[25], Train loss: 4.671, Val loss: 7.847, Train mAP: 28.702 %, Val mAP: 27.954 %
[26], Train loss: 4.614, Val loss: 6.142, Train mAP: 31.771 %, Val mAP: 28.046 %
[27], Train loss: 4.564, Val loss: 5.415, Train mAP: 31.655 %, Val mAP: 25.929 %
[28], Train loss: 4.525, Val loss: 6.124, Train mAP: 32.273 %, Val mAP: 30.280 %
[29], Train loss: 4.505, Val loss: 7.351, Train mAP: 31.685 %, Val mAP: 29.795 %
[30], Train loss: 4.475, Val loss: 5.859, Train mAP: 32.952 %, Val mAP: 30.842 %
[31], Train loss: 4.414, Val loss: 5.969, Train mAP: 38.916 %, Val mAP: 31.523 %
[32], Train loss: 4.414, Val loss: 6.638, Train mAP: 37.408 %, Val mAP: 32.875 %
[33], Train loss: 4.369, Val loss: 6.302, Train mAP: 37.777 %, Val mAP: 32.520 %
[34], Train loss: 4.499, Val loss: 5.803, Train mAP: 35.224 %, Val mAP: 31.711 %
[35], Train loss: 4.385, Val loss: 8.172, Train mAP: 40.618 %, Val mAP: 32.511 %
[36], Train loss: 4.397, Val loss: 6.093, Train mAP: 39.333 %, Val mAP: 35.400 %
[37], Train loss: 4.321, Val loss: 5.950, Train mAP: 40.836 %, Val mAP: 37.997 %
[38], Train loss: 4.257, Val loss: 6.183, Train mAP: 45.922 %, Val mAP: 33.465 %
[39], Train loss: 4.239, Val loss: 7.098, Train mAP: 44.269 %, Val mAP: 35.629 %
[40], Train loss: 4.238, Val loss: 5.952, Train mAP: 39.121 %, Val mAP: 35.891 %
[41], Train loss: 4.314, Val loss: 4.215, Train mAP: 43.112 %, Val mAP: 34.151 %
[42], Train loss: 4.178, Val loss: 4.822, Train mAP: 38.627 %, Val mAP: 33.922 %
[43], Train loss: 4.185, Val loss: 5.480, Train mAP: 43.341 %, Val mAP: 36.491 %
[44], Train loss: 4.081, Val loss: 7.994, Train mAP: 46.388 %, Val mAP: 31.471 %
[45], Train loss: 4.123, Val loss: 6.557, Train mAP: 42.690 %, Val mAP: 38.929 %
[46], Train loss: 4.086, Val loss: 5.939, Train mAP: 44.060 %, Val mAP: 36.275 %
[47], Train loss: 4.088, Val loss: 5.796, Train mAP: 41.806 %, Val mAP: 43.295 %
[48], Train loss: 4.231, Val loss: 18.577, Train mAP: 45.335 %, Val mAP: 32.287 %
[49], Train loss: 4.248, Val loss: 10.011, Train mAP: 41.067 %, Val mAP: 47.332 %
[50], Train loss: 4.130, Val loss: 4.142, Train mAP: 44.882 %, Val mAP: 44.012 %
